decision_key	category	title	statement	confidence	rationale	evidence_path	effective_at
v050_release_integrity_model_v0_1_0	release_governance	Record the v0.5.0 checksum-bound integrity model	v0.5.0 uses an unsigned annotated tag plus exact tag-object, commit, tree and public asset SHA-256 binding. GitHub's immutable-release feature is not enabled; the project treats the tag as non-moving and detects drift through registered hashes.	HIGH	Signing or platform-enforced immutable releases were not explicit v0.5.0 gates; exact object and checksum evidence provides independently verifiable release integrity.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16AR_PUBLIC_V050_RELEASE_BINDING_v0.1.0.md	2026-08-17T09:32:21+00:00
software_license_bsd3_v0_1_0	release_packaging	Select BSD-3-Clause for RNA-TR-Scout software	The RNA-TR-Scout software source is licensed under BSD-3-Clause with Copyright (c) 2026, Ryosuke Miyamoto. Third-party catalog/data terms remain separately attributed and are not relicensed by the software LICENSE.	HIGH	Owner selected BSD-3-Clause; root LICENSE, pyproject.toml, CITATION.cff and THIRD_PARTY_NOTICES.md are mutually consistent.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/LICENSE	2026-08-17T06:03:48+00:00
g25_g29_release_readiness_closure_v0_1_0	release_readiness	Close G25-G29 for current tested scope	G25 reference bootstrap, G26 resource detection, G27 memory-aware Core scheduling, G28 scoped cross-hardware reproducibility and G29 clean-machine clone-to-test reproducibility are accepted for the currently tested Linux x86-64 ONT-cDNA release scope.	HIGH	Stage16W/X/S/Z/AA collectively provide direct network-install, resource-planning, cross-hardware and independent-machine evidence without changing the frozen Core.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16AB_G25_G30_RELEASE_READINESS_ADJUDICATION_v0.1.0.md	2026-08-17T05:25:37+00:00
g30_hardware_profile_pass_with_scope_v0_1_0	release_readiness	Record G30 hardware profile with scoped minimum amendment	G30 is PASS_WITH_SCOPE: tested hardware profiles and a release-scale recommended profile are documented; a lower empirical CPU/RAM minimum is not established and is intentionally not invented. The minimum remains a nonblocking limitation while user-facing documentation preserves this distinction.	HIGH	Two tested Linux x86-64 hosts provide 24/36 logical CPUs with approximately 128 GB RAM, while no lower full-scale configuration has been empirically validated.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/HARDWARE_PROFILE_v0.1.0.md	2026-08-17T05:25:37+00:00
release_candidate_ready_for_final_pro_audit_v0_1_0	release_readiness	Release candidate passed final Pro audit	The audited RC passed the final Pro cross-cut audit. Scientific/runtime changes are no longer authorized for this release line; the next permitted work is final 0.5.0 metadata, main/public-source verification and immutable tag/release/citation binding.	HIGH	The Stage16AM prospective tree and exact remote commit are scientifically identical to the previously validated candidate, and Stage16AN closes all audit findings.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16AN_FINAL_PRO_CROSSCUT_AUDIT_v0.1.0.md	2026-08-17T08:35:10+00:00
stage16_release_engineering_progress_checkpoint_v0_1_0	release_readiness	Register post-Freeze Stage16 release-engineering progress	Current release engineering now includes public catalog/network-install closure plus Stage16Z resource-aware Core scheduling and Stage16AA independent-machine fresh validation. G25-G29 are accepted. G30 has tested and recommended hardware profiles documented while the empirical minimum remains explicitly unmeasured and nonblocking. CLEAN_INSTALL_INTERNAL_BETA is closed for the current Linux x86-64 ONT-cDNA scope. The immutable Core Freeze root remains 4b1981db955a8aa92a2a01e19bbb1cfc2aa0ebfb.	HIGH	Stage16Z Tier3 and Stage16AA Tier2 results retain exact frozen scientific-table identities under automatic scheduling; the second host also completed fresh environment and network-resource setup.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16ac_resource_readiness_v0.1.0/sha256_38ba94527d42bb08e13e600ea7c41ef4768c1571a70b6d1c7e50ab9f82a544f1/originals/rnatr_stage16aa_independent_machine_fresh_validation_v0.1.0_20260817T041347Z.json	2026-08-17T05:25:37+00:00
stage16ae_public_release_packaging_acceptance_v0_1_0	release_readiness	Accept Stage16AE mechanical public-release packaging	Accept v0.5.0-rc1 mechanical packaging as complete with BSD-3-Clause, citation metadata, explicit Linux x86-64 conda lock, release notes and third-party notice separation. This does not create or authorize the final public v0.5.0 release before the final Pro audit.	HIGH	Stage16AE packaging files and Stage16AF preflight bind the candidate package identity and reproducibility metadata while preserving the Freeze root.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16ag_rc_packaging_v0.1.0/sha256_395f8f8abb5e327105370accdc2176635d27a64942625ad3e3b06a2e6214d233/originals/rnatr_stage16af_rc_preflight.result.json	2026-08-17T06:03:48+00:00
stage16af_rc_preflight_acceptance_v0_1_0	release_readiness	Accept Stage16AF release-candidate preflight	Accept candidate c7c0d985068c4d01f7669521e6fefd146fbb1718 / tree 568974b45cf06fd76a03e70e57a643184ecac528 as mechanically ready for the final Pro cross-cut audit. Public v0.5.0 remains unreleased.	HIGH	The archived candidate passed compilation, full unit tests, resource-planner tests, version/license/citation checks, explicit-lock hygiene, setup smoke, ancestry and working-tree hygiene.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16ag_rc_packaging_v0.1.0/sha256_395f8f8abb5e327105370accdc2176635d27a64942625ad3e3b06a2e6214d233/originals/rnatr_stage16af_rc_preflight.result.json	2026-08-17T06:03:48+00:00
stage16z_resource_aware_public_cli_acceptance_v0_1_0	release_readiness	Accept Stage16Z resource-aware public CLI	Accept resource detection and automatic Core scheduling for the current Linux x86-64 release scope. Tier2 and Tier3 automatic profiles retain exact scientific parity; resume reuses the recorded plan. Mapping-thread tuning and full-scale peak disk remain separate scopes.	HIGH	Static policy tests, primary-host Tier3 execution and second-host Tier2 execution satisfy the Stage16Z acceptance contract.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16ac_resource_readiness_v0.1.0/sha256_38ba94527d42bb08e13e600ea7c41ef4768c1571a70b6d1c7e50ab9f82a544f1/originals/rnatr_stage16z_tier3_auto_parity_validation_v0.1.0_20260817T045332Z.json	2026-08-17T05:25:37+00:00
stage16w_public_catalog_distribution_acceptance_v0_1_0	resource_distribution	Accept Stage16W public catalog distribution	Accept the public `Ryo-Miyamo/RNA-TR-Scout-resources` release `catalog-grch38-v0.1.0` as the standard catalog distribution for this validated profile. The outer archive SHA-256 is 54a24e4b60d920c8fec16b2df37b47e40407de42b949b18dc6233e97d85f2fef; unauthenticated download is exact; the five scientific runtime member bytes remain unchanged.	HIGH	The public publication result and deterministic repack result jointly establish public accessibility, exact outer-archive identity, required notices/provenance and 5/5 runtime-member identity preservation.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16y_stage16wx_registration_v0.1.0/sha256_75f9cc560c22adb236902324d2d4771f7a1a6fee439cedf747a9cfb163fffd09/originals/stage16w_public_catalog_publish.result.json	2026-08-17T03:02:53+00:00
evidence_schema_v0_4_2_fullscale_validated_candidate_v0_1_0	schema_design	Schema v0.4.2 and materializer v0.1.2 validated through the full-scale Stage15 candidate	Adopt schema v0.4.2 and materializer v0.1.2 as the frozen Core evidence contract for the validated Stage15 candidate. Evidence spans isolated 100k correctness, deterministic 250k/500k scaling, empirical 5,312,696-read execution, and Stage15E scoped reconstruction/restart. This decision does not itself promote current_pipeline or close G25-G34.	HIGH	The prior ACTIVE decision was limited to prepared-job-to-package validation and incorrectly retained the already-passed isolated BAM-input gate as the blocker.	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-11T00:30:00+00:00
stage15a_checkpoint_reproducibility_amendment_v0_1_0	validation_contract	Supersede unsupported 250k checkpoint reproducibility claim with role-by-shard logical audit	The original v0.1.2 QC field checkpoint_manifest_reproducibility=true was not supported by its implementation because the checker validated each replicate separately without A/B comparison. The historical QC is preserved and superseded by a 157-row role×shard logical comparison with zero differences.	HIGH	Historical evidence must be amended rather than silently rewritten. Compressed deterministic TSVs are compared by decompressed bytes, runtime QC by timing-excluded semantic metrics, and other deterministic artifacts by raw bytes.	/mnt/intelssd/rnatr_project/qc/15_architecture_consistency_audit/ENCSR307SHM_stage15a250k_seed20260808_mm2splice_v1/post_250k_v0.1.1/checkpoint_logical_reproducibility.tsv	2026-08-09T00:00:00+00:00
g31_scope_split_technical_vs_biology_v0_1_0	validation_scope	Split G31 into technical multiplicity integrity and biological candidate-entry interpretation	Preserve the original G31 v0.1.0 machine FAIL. Adopt G31-T PASS_WITH_SCOPE_AMENDMENT because row conservation, primary-ID uniqueness, cross-scale stability, low read-locus excess, and low target concentration show no scale-dependent technical runaway. Defer G31-B candidate-rate and multiplicity meaning to the biology layer as nonblocking for current technical freeze.	HIGH	The machine fail used broader field-level semantic assumptions than the technical runaway question; deep biological interpretation is intentionally deferred by user decision.	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15d_g31_row_expansion_audit.qc.tsv	2026-08-10T00:00:00+00:00
